S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
0,1722092633193.799072,1722092633203.968750,10.169744,0.000000
1,1722092634193.940430,1722092634224.421387,30.481100,-0.141382
2,1722092635193.803467,1722092635203.974854,10.171413,0.136852
3,1722092636193.795166,1722092636203.899414,10.104179,0.008345
4,1722092637193.791748,1722092637203.909424,10.117531,0.003338
5,1722092638193.785645,1722092638203.949707,10.164022,0.006199
6,1722092639193.795654,1722092639203.963135,10.167360,-0.010014
7,1722092640193.937500,1722092640224.415283,30.477762,-0.141859
8,1722092641193.787842,1722092641203.960693,10.172844,0.149727
9,1722092642193.799072,1722092642203.964844,10.165930,-0.011206
10,1722092643193.814941,1722092643203.973877,10.158777,-0.015974
11,1722092644193.793213,1722092644203.952148,10.158777,0.021696
12,1722092645193.788330,1722092645203.943848,10.155439,0.005007
13,1722092646193.924072,1722092646222.543701,28.619528,-0.135899
14,1722092647193.794189,1722092647203.968262,10.174036,0.129938
15,1722092648193.787842,1722092648203.944580,10.156870,0.006437
16,1722092649193.798096,1722092649203.965332,10.167360,-0.010252
17,1722092650193.796387,1722092650203.970215,10.173798,0.001669
18,1722092651193.803711,1722092651203.962891,10.159016,-0.007391
19,1722092652193.920898,1722092652204.163818,10.242939,-0.117064
20,1722092653193.797607,1722092653203.954590,10.157108,0.123262
21,1722092654193.794922,1722092654203.960449,10.165453,0.002623
22,1722092655193.805420,1722092655203.976074,10.170698,-0.010490
23,1722092656193.788574,1722092656203.954834,10.166407,0.016928
24,1722092657193.936279,1722092657224.362549,30.426264,-0.147820
25,1722092658193.785156,1722092658203.936768,10.151625,0.151157
26,1722092659193.788818,1722092659203.934570,10.145903,-0.003576
27,1722092660193.781738,1722092660203.927979,10.146141,0.006914
28,1722092661193.783447,1722092661203.933838,10.150433,-0.001669
29,1722092662193.787354,1722092662203.937988,10.150671,-0.003815
30,1722092663193.924805,1722092663224.351318,30.426502,-0.137568
31,1722092664193.787598,1722092664203.938721,10.151148,0.137329
32,1722092665193.786377,1722092665203.931396,10.144949,0.001192
33,1722092666193.788818,1722092666203.934570,10.145903,-0.002384
34,1722092667193.801514,1722092667203.959229,10.157824,-0.012636
35,1722092668193.787354,1722092668203.943359,10.155916,0.014067
36,1722092669193.925293,1722092669224.363770,30.438423,-0.138044
37,1722092670193.789307,1722092670203.949707,10.160446,0.136137
38,1722092671193.809814,1722092671203.984131,10.174274,-0.020504
39,1722092672193.795166,1722092672203.956543,10.161400,0.014544
40,1722092673193.786377,1722092673203.947510,10.161161,0.008821
41,1722092674193.960449,1722092674204.266602,10.306120,-0.174046
42,1722092675193.813965,1722092675203.982666,10.168552,0.146389
43,1722092676193.790039,1722092676203.950928,10.160923,0.024080
44,1722092677193.786377,1722092677203.933838,10.147572,0.003576
45,1722092678193.797607,1722092678203.947998,10.150433,-0.011206
46,1722092679193.789795,1722092679203.943115,10.153294,0.007868
47,1722092680193.919189,1722092680224.319580,30.400515,-0.129461
48,1722092681193.785889,1722092681203.945312,10.159492,0.133276
49,1722092682193.788574,1722092682203.947998,10.159492,-0.002623
50,1722092683193.803223,1722092683203.965088,10.161877,-0.014782
51,1722092684193.797852,1722092684203.954102,10.156393,0.005484
52,1722092685193.799072,1722092685203.958008,10.159016,-0.001192
53,1722092686193.935791,1722092686224.387695,30.451775,-0.136852
54,1722092687193.797363,1722092687203.959229,10.161877,0.138521
55,1722092688193.783203,1722092688203.960449,10.177135,0.014067
56,1722092689193.793213,1722092689203.958252,10.164976,-0.010014
57,1722092690193.782715,1722092690203.938965,10.156155,0.010490
58,1722092691193.793457,1722092691203.955566,10.162115,-0.010729
59,1722092692193.907471,1722092692224.341553,30.434132,-0.113964
60,1722092693193.785400,1722092693203.949219,10.163784,0.122070
61,1722092694193.799561,1722092694203.962646,10.163069,-0.014067
62,1722092695193.798340,1722092695203.955566,10.157347,0.001192
63,1722092696193.781738,1722092696203.944092,10.162354,0.016451
64,1722092697193.781494,1722092697203.940674,10.159254,0.000477
65,1722092698193.915771,1722092698224.384766,30.468941,-0.134468
66,1722092699193.822266,1722092699203.980713,10.158539,0.093699
67,1722092700193.792725,1722092700203.977295,10.184526,0.029325
68,1722092701193.785645,1722092701203.969971,10.184288,0.007153
69,1722092702193.793457,1722092702203.955322,10.161877,-0.007868
70,1722092703193.801270,1722092703203.971191,10.169983,-0.007629
71,1722092704193.944824,1722092704224.436279,30.491352,-0.143766
72,1722092705193.789062,1722092705203.956055,10.167122,0.155926
73,1722092706193.786865,1722092706203.955566,10.168791,0.002146
74,1722092707193.802979,1722092707203.965088,10.162115,-0.016212
75,1722092708193.784912,1722092708203.949219,10.164261,0.018120
76,1722092709193.792480,1722092709203.956787,10.164261,-0.007629
77,1722092710193.923584,1722092710222.122070,28.198719,-0.130892
78,1722092711193.803223,1722092711203.971191,10.167837,0.120163
79,1722092712193.786133,1722092712203.950439,10.164261,0.017166
80,1722092713193.800049,1722092713203.961426,10.161400,-0.013828
81,1722092714193.792969,1722092714203.950439,10.157347,0.006914
82,1722092715193.802979,1722092715203.949463,10.146379,-0.010014
83,1722092716193.923828,1722092716224.363037,30.439377,-0.120640
84,1722092717193.784180,1722092717203.943604,10.159254,0.139475
85,1722092718193.784668,1722092718203.959473,10.174751,-0.000477
86,1722092719193.795410,1722092719203.958496,10.163069,-0.010729
87,1722092720193.791016,1722092720203.953125,10.162115,0.004530
88,1722092721193.783936,1722092721203.943604,10.159492,0.006914
89,1722092722193.916016,1722092722224.362549,30.446529,-0.132084
90,1722092723193.798828,1722092723203.960449,10.161638,0.117302
91,1722092724193.812012,1722092724203.993164,10.181189,-0.013113
