S4 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
0,1722092633216.410156,1722092633218.365479,1.955271,0.000000
1,1722092634261.332275,1722092634265.390625,4.058361,-44.922113
2,1722092635216.416992,1722092635218.244385,1.827240,44.915199
3,1722092636216.362549,1722092636218.325684,1.963139,0.054598
4,1722092637216.323975,1722092637218.149414,1.825333,0.038385
5,1722092638216.370361,1722092638218.211914,1.841545,-0.046253
6,1722092639216.338379,1722092639218.127197,1.788855,0.031948
7,1722092640261.215576,1722092640265.217285,4.001617,-44.877291
8,1722092641216.366455,1722092641218.148193,1.781702,44.849157
9,1722092642216.324951,1722092642218.175537,1.850605,0.041485
10,1722092643216.357666,1722092643218.075195,1.717567,-0.032663
11,1722092644218.073486,1722092644219.856201,1.782656,-1.715899
12,1722092645216.328125,1722092645218.109375,1.781225,1.745462
13,1722092646250.163574,1722092646253.166016,3.002405,-33.835411
14,1722092647216.365967,1722092647218.144531,1.778364,33.797503
15,1722092648216.350830,1722092648218.086426,1.735687,0.015259
16,1722092649216.302979,1722092649218.020020,1.717091,0.047922
17,1722092650216.292236,1722092650218.312500,2.020359,0.010729
18,1722092651216.343262,1722092651218.067383,1.724243,-0.051022
19,1722092652216.800293,1722092652218.704102,1.903772,-0.457048
20,1722092653216.334961,1722092653218.109863,1.774788,0.465155
21,1722092654216.231445,1722092654218.067871,1.836538,0.103712
22,1722092655216.339600,1722092655218.224365,1.884699,-0.108242
23,1722092656216.286133,1722092656218.017822,1.731634,0.053406
24,1722092657261.185791,1722092657265.081543,3.895760,-44.899702
25,1722092658216.254639,1722092658217.991211,1.736403,44.931173
26,1722092659216.249268,1722092659218.025635,1.776457,0.005484
27,1722092660216.283203,1722092660217.955078,1.671791,-0.034094
28,1722092661216.234863,1722092661218.272461,2.037525,0.048399
29,1722092662216.262451,1722092662217.951416,1.689196,-0.027418
30,1722092663260.739990,1722092663265.152100,4.412174,-44.477701
31,1722092664216.274902,1722092664218.059326,1.784325,44.465065
32,1722092665216.264160,1722092665218.140869,1.876593,0.010729
33,1722092666216.266846,1722092666218.297363,2.030611,-0.002623
34,1722092667217.114014,1722092667218.852051,1.738071,-0.847101
35,1722092668216.311035,1722092668218.140625,1.829624,0.802994
36,1722092669261.137939,1722092669265.095947,3.957987,-44.826984
37,1722092670216.292236,1722092670218.149658,1.857519,44.845819
38,1722092671216.351318,1722092671218.305908,1.954556,-0.059128
39,1722092672217.639160,1722092672219.431152,1.791954,-1.287937
40,1722092673216.404297,1722092673218.175049,1.770735,1.235008
41,1722092674217.082520,1722092674219.031006,1.948595,-0.678301
42,1722092675216.367920,1722092675217.995605,1.627684,0.714540
43,1722092676216.337158,1722092676249.549316,33.212185,0.030756
44,1722092677216.251709,1722092677217.956543,1.704931,0.085592
45,1722092678216.252441,1722092678217.953369,1.701117,-0.000715
46,1722092679216.249756,1722092679218.031250,1.781464,0.002623
47,1722092680260.441650,1722092680264.283691,3.842115,-44.191837
48,1722092681216.236816,1722092681218.026367,1.789570,44.204712
49,1722092682216.306152,1722092682218.090088,1.783848,-0.069380
50,1722092683216.313721,1722092683218.010498,1.696587,-0.007629
51,1722092684217.294434,1722092684218.961182,1.666784,-0.980616
52,1722092685216.326172,1722092685218.162842,1.836538,0.968218
53,1722092686261.245605,1722092686265.252930,4.007339,-44.919252
54,1722092687216.349854,1722092687218.221924,1.872063,44.895649
55,1722092688216.347656,1722092688218.182129,1.834393,0.002146
56,1722092689216.332520,1722092689218.174316,1.841784,0.015259
57,1722092690216.297119,1722092690217.987305,1.690149,0.035286
58,1722092691216.336182,1722092691218.233398,1.897097,-0.039101
59,1722092692248.451416,1722092692251.380859,2.929449,-32.115221
60,1722092693215.434326,1722092693217.329590,1.895189,33.017159
61,1722092694215.437500,1722092694217.191650,1.754284,-0.003099
62,1722092695215.416016,1722092695217.110107,1.694202,0.021458
63,1722092696215.401123,1722092696217.189209,1.788139,0.014782
64,1722092697215.348877,1722092697217.092285,1.743317,0.052214
65,1722092698248.361084,1722092698250.963623,2.602577,-33.012152
66,1722092699215.459473,1722092699217.377441,1.917839,32.901525
67,1722092700215.467529,1722092700217.386963,1.919508,-0.007868
68,1722092701215.431885,1722092701217.245605,1.813650,0.035524
69,1722092702215.362549,1722092702323.909668,108.547211,0.069380
70,1722092703215.441406,1722092703217.243896,1.802444,-0.078917
71,1722092704248.070312,1722092704250.774902,2.704620,-32.628775
72,1722092705215.418213,1722092705217.245850,1.827717,32.652140
73,1722092706215.422119,1722092706217.170654,1.748562,-0.004053
74,1722092707215.450928,1722092707217.333252,1.882315,-0.028849
75,1722092708215.449463,1722092708217.162109,1.712561,0.001431
76,1722092709215.469238,1722092709217.293457,1.824141,-0.019789
77,1722092710247.836426,1722092710250.934082,3.097773,-32.366991
78,1722092711215.427002,1722092711217.333008,1.906157,32.409430
79,1722092712215.378418,1722092712217.205078,1.826525,0.048399
80,1722092713215.431396,1722092713217.154541,1.723051,-0.052929
81,1722092714215.404785,1722092714217.280029,1.875401,0.026703
82,1722092715215.391602,1722092715217.349609,1.957893,0.013113
83,1722092716247.535156,1722092716250.257324,2.722025,-32.143593
84,1722092717215.376465,1722092717217.078369,1.702070,32.158852
85,1722092718215.435303,1722092718217.260986,1.825809,-0.058889
86,1722092719215.390625,1722092719217.299072,1.908302,0.044584
87,1722092720217.406494,1722092720219.305664,1.899242,-2.015829
88,1722092721215.417236,1722092721217.190186,1.773119,1.989365
89,1722092722250.000732,1722092722255.085693,5.084991,-34.583569
90,1722092723215.416992,1722092723217.311035,1.894236,34.583807
91,1722092724215.471436,1722092724217.347412,1.875877,-0.054598
92,1722092725215.439697,1722092725217.412598,1.972914,0.031710
93,1722092726215.397217,1722092726217.201660,1.804590,0.042677
94,1722092727217.379639,1722092727219.391846,2.012253,-1.982450
95,1722092728248.379639,1722092728251.085693,2.706051,-31.000137
96,1722092729215.376953,1722092729217.202393,1.825571,33.002853
97,1722092730215.391357,1722092730217.132568,1.741171,-0.014544
98,1722092731215.396240,1722092731217.128418,1.732349,-0.004768
99,1722092732216.587158,1722092732218.255371,1.668215,-1.190901
100,1722092733217.313721,1722092733219.140869,1.827002,-0.726700
101,1722092734249.680420,1722092734253.219971,3.539562,-32.366753
102,1722092735217.076172,1722092735218.850586,1.774549,32.604456
103,1722092736215.418701,1722092736217.322021,1.903296,1.657248
104,1722092737215.397461,1722092737217.182861,1.785517,0.021458
105,1722092738215.405029,1722092738217.313721,1.908779,-0.007629
106,1722092739215.468750,1722092739217.399902,1.931190,-0.063658
107,1722092740249.934326,1722092740252.532471,2.598047,-34.465790
108,1722092741215.435059,1722092741217.671631,2.236605,34.499407
109,1722092742215.432617,1722092742217.211182,1.778603,0.002384
110,1722092743215.406494,1722092743217.212158,1.805782,0.026226
111,1722092744217.449463,1722092744219.181152,1.731634,-2.043009
112,1722092745215.403564,1722092745217.261230,1.857758,2.045870
113,1722092746249.931396,1722092746252.823975,2.892733,-34.527779
114,1722092747215.466064,1722092747217.235352,1.769304,34.465313
115,1722092748215.399902,1722092748217.237793,1.837730,0.066042
116,1722092749215.416504,1722092749217.372070,1.955748,-0.016451
117,1722092750215.395752,1722092750217.234375,1.838684,0.020742
