S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
0,1722092633204.113037,1722092633216.242920,12.130022,0.000000
1,1722092634224.682617,1722092634261.040039,36.357403,-20.569563
2,1722092635204.103516,1722092635216.280518,12.176991,20.579100
3,1722092636204.024902,1722092636216.222656,12.197971,0.078678
4,1722092637204.021484,1722092637216.184814,12.163401,0.003338
5,1722092638204.074219,1722092638216.222168,12.148142,-0.052691
6,1722092639204.082031,1722092639216.195312,12.113333,-0.007868
7,1722092640224.669678,1722092640260.952881,36.283255,-20.587683
8,1722092641204.077881,1722092641216.214844,12.136936,20.591736
9,1722092642204.063965,1722092642216.174805,12.110949,0.014067
10,1722092643204.094971,1722092643216.210938,12.115955,-0.030994
11,1722092644204.071045,1722092644217.924316,13.853312,0.023842
12,1722092645204.058105,1722092645216.185791,12.127638,0.012875
13,1722092646222.788818,1722092646249.942871,27.153969,-18.730640
14,1722092647204.085205,1722092647216.222656,12.137651,18.703699
15,1722092648204.063721,1722092648216.213135,12.149572,0.021458
16,1722092649204.074463,1722092649216.171387,12.097120,-0.010729
17,1722092650204.084961,1722092650216.136963,12.052059,-0.010490
18,1722092651204.083496,1722092651216.199219,12.115717,0.001431
19,1722092652204.300537,1722092652216.676025,12.375355,-0.217199
20,1722092653204.081543,1722092653216.189941,12.108326,0.219107
21,1722092654204.080322,1722092654216.089111,12.008667,0.001192
22,1722092655204.092285,1722092655216.193359,12.101173,-0.011921
23,1722092656204.089355,1722092656216.140625,12.051105,0.002861
24,1722092657224.604248,1722092657260.903320,36.298990,-20.514965
25,1722092658204.042725,1722092658216.114502,12.071848,20.561695
26,1722092659204.042480,1722092659216.114258,12.071848,0.000238
27,1722092660204.031250,1722092660216.141846,12.110710,0.011206
28,1722092661204.038330,1722092661216.097412,12.058973,-0.007153
29,1722092662204.043457,1722092662216.119873,12.076378,-0.005007
30,1722092663224.608643,1722092663260.453613,35.845041,-20.565271
31,1722092664204.043457,1722092664216.137939,12.094498,20.565271
32,1722092665204.038818,1722092665216.123291,12.084484,0.004530
33,1722092666204.038818,1722092666216.105469,12.066603,0.000000
34,1722092667204.079346,1722092667216.969238,12.889862,-0.040531
35,1722092668204.065918,1722092668216.174072,12.108088,0.013351
36,1722092669224.613037,1722092669260.875488,36.262512,-20.546913
37,1722092670204.067871,1722092670216.148193,12.080193,20.545006
38,1722092671204.098389,1722092671216.200439,12.101889,-0.030518
39,1722092672204.079346,1722092672217.492676,13.413191,0.019073
40,1722092673204.067871,1722092673216.264404,12.196541,0.011444
41,1722092674204.380371,1722092674216.932373,12.552023,-0.312328
42,1722092675204.098145,1722092675216.247070,12.148857,0.282049
43,1722092676204.073730,1722092676216.196777,12.123108,0.024557
44,1722092677204.041992,1722092677216.107910,12.065887,0.031710
45,1722092678204.051514,1722092678216.120605,12.069225,-0.009537
46,1722092679204.046875,1722092679216.107178,12.060165,0.004530
47,1722092680224.555176,1722092680260.195557,35.640240,-20.508289
48,1722092681204.052246,1722092681216.095947,12.043715,20.503044
49,1722092682204.066406,1722092682216.161133,12.094736,-0.014305
50,1722092683204.084473,1722092683216.178467,12.094021,-0.017881
51,1722092684204.067627,1722092684217.150146,13.082504,0.016689
52,1722092685204.084717,1722092685216.182373,12.097836,-0.016928
53,1722092686224.651611,1722092686260.993896,36.342382,-20.566940
54,1722092687204.078857,1722092687216.210938,12.131929,20.572662
55,1722092688204.079102,1722092688216.218994,12.139797,-0.000238
56,1722092689204.082031,1722092689216.185791,12.103796,-0.002861
57,1722092690204.061768,1722092690216.158203,12.096405,0.020266
58,1722092691204.065918,1722092691216.189697,12.123585,-0.004292
